i;GraphName;Algorithm;N Colis;Graph Initial;x0 fitness;x0 Nb camions;xi fitness;xi Nb camions;Temps calcul (en ms);Max iteration;Variation ou Taille liste
0;A3205.txt;recuit;32;greedy;3740;31;2208;13;11;100;0.7
0;A3305.txt;recuit;33;greedy;2618;32;1828;13;6;100;0.7
0;A3306.txt;recuit;33;greedy;2544;32;1573;11;5;100;0.7
0;A3405.txt;recuit;34;greedy;3155;33;2026;11;4;100;0.7
0;A3605.txt;recuit;36;greedy;3896;35;2284;13;5;100;0.7
0;A3705.txt;recuit;37;greedy;2755;36;1914;16;3;100;0.7
0;A3706.txt;recuit;37;greedy;3812;36;2163;14;4;100;0.7
0;A3805.txt;recuit;38;greedy;3075;37;2103;17;2;100;0.7
0;A3905.txt;recuit;39;greedy;3618;38;2122;14;2;100;0.7
0;A3906.txt;recuit;39;greedy;3489;38;2277;16;3;100;0.7
0;A4406.txt;recuit;44;greedy;4168;43;2517;15;3;100;0.7
0;A4506.txt;recuit;45;greedy;4284;44;2880;19;2;100;0.7
0;A4507.txt;recuit;45;greedy;5114;44;3069;19;2;100;0.7
0;A4607.txt;recuit;46;greedy;4039;45;2773;16;2;100;0.7
0;A5307.txt;recuit;53;greedy;5026;52;3552;25;3;100;0.7
0;A5407.txt;recuit;54;greedy;5774;53;3994;25;4;100;0.7
0;A5509.txt;recuit;55;greedy;4377;54;3134;22;3;100;0.7
0;A6009.txt;recuit;60;greedy;6329;59;4445;31;3;100;0.7
0;A6109.txt;recuit;61;greedy;4470;60;3687;40;2;100;0.7
0;A6208.txt;recuit;62;greedy;7106;61;4451;24;2;100;0.7
0;A6310.txt;recuit;63;greedy;5761;62;4068;29;4;100;0.7
0;A6409.txt;recuit;64;greedy;7632;63;5352;33;2;100;0.7
0;A6509.txt;recuit;65;greedy;5722;64;4238;30;3;100;0.7
0;A6909.txt;recuit;69;greedy;5513;68;4270;34;4;100;0.7
0;A8010.txt;recuit;80;greedy;11153;79;7676;43;3;100;0.7
1;A3205.txt;recuit;32;greedy;3740;31;2360;10;1;100;0.7
1;A3305.txt;recuit;33;greedy;2618;32;1728;12;1;100;0.7
1;A3306.txt;recuit;33;greedy;2544;32;1561;10;1;100;0.7
1;A3405.txt;recuit;34;greedy;3155;33;1871;14;1;100;0.7
1;A3605.txt;recuit;36;greedy;3896;35;2358;13;1;100;0.7
1;A3705.txt;recuit;37;greedy;2755;36;1797;14;2;100;0.7
1;A3706.txt;recuit;37;greedy;3812;36;2159;15;2;100;0.7
1;A3805.txt;recuit;38;greedy;3075;37;2074;16;3;100;0.7
1;A3905.txt;recuit;39;greedy;3618;38;2430;15;2;100;0.7
1;A3906.txt;recuit;39;greedy;3489;38;2377;17;2;100;0.7
1;A4406.txt;recuit;44;greedy;4168;43;2881;18;2;100;0.7
1;A4506.txt;recuit;45;greedy;4284;44;3058;21;1;100;0.7
1;A4507.txt;recuit;45;greedy;5114;44;3050;19;1;100;0.7
1;A4607.txt;recuit;46;greedy;4039;45;2517;17;2;100;0.7
