i;GraphName;Algorithm;N Colis;Graph Initial;x0 fitness;x0 Nb camions;xi fitness;xi Nb camions;Temps calcul (en ms);Max iteration;Variation ou Taille liste
0;A3205.txt;tabou;32;filltruck;2080;5;865;5;161;50;1
0;A3305.txt;tabou;33;filltruck;1886;5;776;5;375;500;10
0;A3306.txt;tabou;33;filltruck;1593;7;788;6;583;500;10
0;A3405.txt;tabou;34;filltruck;2073;6;780;5;441;500;10
0;A3605.txt;tabou;36;filltruck;1991;5;984;5;681;500;10
0;A3705.txt;tabou;37;filltruck;1593;5;774;5;972;500;10
0;A3706.txt;tabou;37;filltruck;2050;7;1090;7;490;500;10
0;A3805.txt;tabou;38;filltruck;2251;6;823;5;589;500;10
0;A3905.txt;tabou;39;filltruck;2377;6;854;5;673;500;10
0;A3906.txt;tabou;39;filltruck;2385;6;908;6;771;500;10
0;A4406.txt;tabou;44;filltruck;2603;7;1156;6;616;500;10
0;A4506.txt;tabou;45;filltruck;2815;7;1106;7;899;500;10
0;A4507.txt;tabou;45;filltruck;2775;7;1282;7;806;500;10
0;A4607.txt;tabou;46;filltruck;2693;7;1111;7;1142;500;10
0;A5307.txt;tabou;53;filltruck;3300;8;1141;8;1920;500;10
0;A5407.txt;tabou;54;filltruck;3491;8;1518;7;1196;500;10
0;A5509.txt;tabou;55;filltruck;2950;9;1286;9;1120;500;10
0;A6009.txt;tabou;60;filltruck;3770;10;1620;9;1861;500;10
0;A6109.txt;tabou;61;filltruck;3236;11;1280;10;1244;500;10
0;A6208.txt;tabou;62;filltruck;3474;8;1643;8;1391;500;10
0;A6310.txt;tabou;63;filltruck;3706;11;1643;10;1692;500;10
0;A6409.txt;tabou;64;filltruck;3734;10;1547;9;1733;500;10
0;A6509.txt;tabou;65;filltruck;3673;10;1384;10;2722;500;10
0;A6909.txt;tabou;69;filltruck;4196;10;1513;9;2148;500;10
0;A8010.txt;tabou;80;greedy;11153;79;1808;10;101348;10000;10
1;A3205.txt;tabou;32;filltruck;2080;5;873;5;45;50;2
1;A3305.txt;tabou;33;filltruck;1886;5;790;5;375;500;20
1;A3306.txt;tabou;33;filltruck;1593;7;788;6;545;500;20
1;A3405.txt;tabou;34;filltruck;2073;6;859;5;545;500;20
1;A3605.txt;tabou;36;filltruck;1991;5;941;5;717;500;20
1;A3705.txt;tabou;37;filltruck;1593;5;774;5;1215;500;20
1;A3706.txt;tabou;37;filltruck;2050;7;1074;7;800;500;20
1;A3805.txt;tabou;38;filltruck;2251;6;856;5;513;500;20
1;A3905.txt;tabou;39;filltruck;2377;6;1057;5;595;500;20
1;A3906.txt;tabou;39;filltruck;2385;6;867;6;1020;500;20
1;A4406.txt;tabou;44;filltruck;2603;7;1267;6;748;500;20
1;A4506.txt;tabou;45;filltruck;2815;7;1192;7;872;500;20
1;A4507.txt;tabou;45;filltruck;2775;7;1282;7;980;500;20
1;A4607.txt;tabou;46;filltruck;2693;7;1103;7;1309;500;20
1;A5307.txt;tabou;53;filltruck;3300;8;1125;8;2060;500;20
1;A5407.txt;tabou;54;filltruck;3491;8;1259;7;1506;500;20
1;A5509.txt;tabou;55;filltruck;2950;9;1210;9;1166;500;20
1;A6009.txt;tabou;60;filltruck;3770;10;1607;9;2130;500;20
1;A6109.txt;tabou;61;filltruck;3236;11;1239;10;2359;500;20
1;A6208.txt;tabou;62;filltruck;3474;8;1703;8;1673;500;20
1;A6310.txt;tabou;63;filltruck;3706;11;1558;10;1947;500;20
1;A6409.txt;tabou;64;filltruck;3734;10;1542;9;2192;500;20
1;A6509.txt;tabou;65;filltruck;3673;10;1585;10;3370;500;20
1;A6909.txt;tabou;69;filltruck;4196;10;1513;9;2648;500;20
12;A8010.txt;tabou;80;greedy;11153;79;1822;10;16865;1000;260
2;A3205.txt;tabou;32;filltruck;2080;5;873;5;46;50;3
2;A3305.txt;tabou;33;filltruck;1886;5;790;5;453;500;30
2;A3306.txt;tabou;33;filltruck;1593;7;788;6;525;500;30
2;A3405.txt;tabou;34;filltruck;2073;6;910;5;627;500;30
2;A3605.txt;tabou;36;filltruck;1991;5;879;5;849;500;30
2;A3705.txt;tabou;37;filltruck;1593;5;750;5;1408;500;30
2;A3706.txt;tabou;37;filltruck;2050;7;1065;7;458;500;30
2;A3805.txt;tabou;38;filltruck;2251;6;745;6;968;500;30
2;A3905.txt;tabou;39;filltruck;2377;6;919;5;1088;500;30
2;A3906.txt;tabou;39;filltruck;2385;6;986;6;1342;500;30
2;A4406.txt;tabou;44;filltruck;2603;7;1168;6;932;500;30
2;A4506.txt;tabou;45;filltruck;2815;7;1192;7;1239;500;30
2;A4507.txt;tabou;45;filltruck;2775;7;1284;7;1186;500;30
2;A4607.txt;tabou;46;filltruck;2693;7;1021;7;1122;500;30
2;A5307.txt;tabou;53;filltruck;3300;8;1108;7;1078;500;30
2;A5407.txt;tabou;54;filltruck;3491;8;1369;7;1767;500;30
2;A5509.txt;tabou;55;filltruck;2950;9;1199;9;1224;500;30
2;A6009.txt;tabou;60;filltruck;3770;10;1601;9;2349;500;30
2;A6109.txt;tabou;61;filltruck;3236;11;1180;10;2786;500;30
2;A6208.txt;tabou;62;filltruck;3474;8;1717;8;1995;500;30
2;A6310.txt;tabou;63;filltruck;3706;11;1485;10;2311;500;30
2;A6409.txt;tabou;64;filltruck;3734;10;1548;9;2327;500;30
2;A6509.txt;tabou;65;filltruck;3673;10;1386;10;2867;500;30
2;A6909.txt;tabou;69;filltruck;4196;10;1359;9;2618;500;30
2;A8010.txt;tabou;80;greedy;11153;79;1823;10;10611;1000;60
