i;GraphName;Algorithm;N Colis;Graph Initial;x0 fitness;x0 Nb camions;xi fitness;xi Nb camions;Temps calcul (en ms);Max iteration;Variation ou Taille liste
0;A3205.txt;tabou;32;filltruck;2080;5;865;5;8635;10000;50
0;A3305.txt;tabou;33;filltruck;1886;5;752;5;9508;10000;50
0;A3306.txt;tabou;33;filltruck;1593;7;788;6;9452;10000;50
0;A3405.txt;tabou;34;filltruck;2073;6;780;5;11700;10000;50
0;A3605.txt;tabou;36;filltruck;1991;5;888;5;13764;10000;50
0;A3705.txt;tabou;37;filltruck;1593;5;730;5;18306;10000;50
0;A3706.txt;tabou;37;filltruck;2050;7;1081;7;9770;10000;50
0;A3805.txt;tabou;38;filltruck;2251;6;817;6;17486;10000;50
0;A3905.txt;tabou;39;filltruck;2377;6;855;5;15931;10000;50
0;A3906.txt;tabou;39;filltruck;2385;6;936;6;15561;10000;50
0;A4406.txt;tabou;44;filltruck;2603;7;1080;6;16871;10000;50
0;A4506.txt;tabou;45;filltruck;2815;7;1147;7;16336;10000;50
0;A4507.txt;tabou;45;filltruck;2775;7;1364;7;15221;10000;50
0;A4607.txt;tabou;46;filltruck;2693;7;1071;7;20076;10000;50
0;A5307.txt;tabou;53;filltruck;3300;8;1214;7;31813;10000;50
0;A5407.txt;tabou;54;filltruck;3491;8;1361;7;29962;10000;50
0;A5509.txt;tabou;55;filltruck;2950;9;1172;9;29068;10000;50
0;A6009.txt;tabou;60;filltruck;3770;10;1539;9;44212;10000;50
0;A6109.txt;tabou;61;filltruck;3236;11;1261;10;53557;10000;50
0;A6208.txt;tabou;62;filltruck;3474;8;1535;8;36306;10000;50
0;A6310.txt;tabou;63;filltruck;3706;11;1512;10;46513;10000;50
0;A6409.txt;tabou;64;filltruck;3734;10;1601;9;29173;10000;50
0;A6509.txt;tabou;65;filltruck;3673;10;1343;10;55278;10000;50
0;A6909.txt;tabou;69;filltruck;4196;10;1345;9;65365;10000;50
0;A8010.txt;tabou;80;filltruck;5166;11;2065;10;66472;10000;50
