i;GraphName;Algorithm;N Colis;Graph Initial;x0 fitness;x0 Nb camions;xi fitness;xi Nb camions;Temps calcul (en ms);Max iteration;Variation ou Taille liste
0;A3205.txt;tabou;32;filltruck;2080;5;854;5;9221;10000;25
0;A3305.txt;tabou;33;filltruck;1886;5;697;5;12819;10000;25
0;A3306.txt;tabou;33;filltruck;1593;7;788;6;13250;10000;25
0;A3405.txt;tabou;34;filltruck;2073;6;823;5;15884;10000;25
0;A3605.txt;tabou;36;filltruck;1991;5;870;5;15798;10000;25
0;A3705.txt;tabou;37;filltruck;1593;5;774;5;35126;10000;25
0;A3706.txt;tabou;37;filltruck;2050;7;1111;7;12219;10000;25
0;A3805.txt;tabou;38;filltruck;2251;6;804;5;15221;10000;25
0;A3905.txt;tabou;39;filltruck;2377;6;843;5;14901;10000;25
0;A3906.txt;tabou;39;filltruck;2385;6;946;6;15875;10000;25
0;A4406.txt;tabou;44;filltruck;2603;7;1179;6;18056;10000;25
0;A4506.txt;tabou;45;filltruck;2815;7;1192;7;21914;10000;25
0;A4507.txt;tabou;45;filltruck;2775;7;1312;7;17225;10000;25
0;A4607.txt;tabou;46;filltruck;2693;7;1093;7;37518;10000;25
0;A5307.txt;tabou;53;filltruck;3300;8;1130;8;41488;10000;25
0;A5407.txt;tabou;54;filltruck;3491;8;1285;7;22902;10000;25
0;A5509.txt;tabou;55;filltruck;2950;9;1211;9;27563;10000;25
0;A6009.txt;tabou;60;filltruck;3770;10;1612;9;57731;10000;25
0;A6109.txt;tabou;61;filltruck;3236;11;1218;10;59199;10000;25
0;A6208.txt;tabou;62;filltruck;3474;8;1596;8;59163;10000;25
0;A6310.txt;tabou;63;filltruck;3706;11;1483;10;43844;10000;25
0;A6409.txt;tabou;64;filltruck;3734;10;1595;9;40866;10000;25
0;A6509.txt;tabou;65;filltruck;3673;10;1495;10;65194;10000;25
0;A6909.txt;tabou;69;filltruck;4196;10;1440;9;71752;10000;25
0;A8010.txt;tabou;80;filltruck;5166;11;2158;10;78952;10000;25
1;A3205.txt;tabou;32;filltruck;2080;5;831;5;22188;10000;50
1;A3305.txt;tabou;33;filltruck;1886;5;684;5;17807;10000;50
1;A3306.txt;tabou;33;filltruck;1593;7;788;6;13586;10000;50
1;A3405.txt;tabou;34;filltruck;2073;6;825;6;18869;10000;50
1;A3605.txt;tabou;36;filltruck;1991;5;870;5;21618;10000;50
1;A3705.txt;tabou;37;filltruck;1593;5;730;5;38311;10000;50
1;A3706.txt;tabou;37;filltruck;2050;7;1111;7;12506;10000;50
1;A3805.txt;tabou;38;filltruck;2251;6;750;6;29699;10000;50
1;A3905.txt;tabou;39;filltruck;2377;6;923;5;37953;10000;50
1;A3906.txt;tabou;39;filltruck;2385;6;859;6;13419;10000;50
1;A4406.txt;tabou;44;filltruck;2603;7;1033;6;24495;10000;50
1;A4506.txt;tabou;45;filltruck;2815;7;1147;7;17360;10000;50
1;A4507.txt;tabou;45;filltruck;2775;7;1297;7;17615;10000;50
1;A4607.txt;tabou;46;filltruck;2693;7;981;7;50219;10000;50
1;A5307.txt;tabou;53;filltruck;3300;8;1110;8;58920;10000;50
1;A5407.txt;tabou;54;filltruck;3491;8;1390;7;47452;10000;50
1;A5509.txt;tabou;55;filltruck;2950;9;1279;9;23087;10000;50
1;A6009.txt;tabou;60;filltruck;3770;10;1584;9;76374;10000;50
1;A6109.txt;tabou;61;filltruck;3236;11;1214;10;94546;10000;50
1;A6208.txt;tabou;62;filltruck;3474;8;1570;8;65308;10000;50
1;A6310.txt;tabou;63;filltruck;3706;11;1523;10;79130;10000;50
1;A6409.txt;tabou;64;filltruck;3734;10;1519;9;68022;10000;50
1;A6509.txt;tabou;65;filltruck;3673;10;1386;10;64711;10000;50
1;A6909.txt;tabou;69;filltruck;4196;10;1507;9;84905;10000;50
1;A8010.txt;tabou;80;filltruck;5166;11;2099;10;177046;10000;50
2;A3205.txt;tabou;32;filltruck;2080;5;831;5;31090;10000;75
