i;GraphName;Algorithm;N Colis;Graph Initial;x0 fitness;x0 Nb camions;xi fitness;xi Nb camions;Temps calcul (en ms);Max iteration;Variation ou Taille liste
0;A3205.txt;tabou;32;greedy;3740;31;976;6;1852;1000;20
0;A3305.txt;tabou;33;greedy;2618;32;680;5;1048;1000;20
0;A3306.txt;tabou;33;greedy;2544;32;795;7;1629;1000;20
0;A3405.txt;tabou;34;greedy;3155;33;790;6;1581;1000;20
0;A3605.txt;tabou;36;greedy;3896;35;860;5;1393;1000;20
0;A3705.txt;tabou;37;greedy;2755;36;729;6;2470;1000;20
0;A3706.txt;tabou;37;greedy;3812;36;989;7;1189;1000;20
0;A3805.txt;tabou;38;greedy;3075;37;834;7;2621;1000;20
0;A3905.txt;tabou;39;greedy;3618;38;888;5;1528;1000;20
0;A3906.txt;tabou;39;greedy;3489;38;956;7;2317;1000;20
0;A4406.txt;tabou;44;greedy;4168;43;981;6;1664;1000;20
0;A4506.txt;tabou;45;greedy;4284;44;1016;8;3261;1000;20
0;A4507.txt;tabou;45;greedy;5114;44;1216;8;2185;1000;20
0;A4607.txt;tabou;46;greedy;4039;45;937;7;2046;1000;20
0;A5307.txt;tabou;53;greedy;5026;52;1083;8;4339;1000;20
0;A5407.txt;tabou;54;greedy;5774;53;1275;8;4824;1000;20
0;A5509.txt;tabou;55;greedy;4377;54;1153;10;4409;1000;20
0;A6009.txt;tabou;60;greedy;6329;59;1380;9;4723;1000;20
0;A6109.txt;tabou;61;greedy;4470;60;1074;10;4407;1000;20
0;A6208.txt;tabou;62;greedy;7106;61;1329;8;5597;1000;20
0;A6310.txt;tabou;63;greedy;5761;62;1382;10;5555;1000;20
0;A6409.txt;tabou;64;greedy;7632;63;1482;10;5781;1000;20
0;A6509.txt;tabou;65;greedy;5722;64;1448;12;9985;1000;20
0;A6909.txt;tabou;69;greedy;5513;68;1191;9;6771;1000;20
0;A8010.txt;tabou;80;greedy;11153;79;1866;10;9115;1000;20
1;A3205.txt;tabou;32;greedy;3740;31;870;5;1563;1000;40
1;A3305.txt;tabou;33;greedy;2618;32;680;5;1292;1000;40
1;A3306.txt;tabou;33;greedy;2544;32;795;7;1480;1000;40
1;A3405.txt;tabou;34;greedy;3155;33;790;6;1812;1000;40
1;A3605.txt;tabou;36;greedy;3896;35;806;5;1573;1000;40
1;A3705.txt;tabou;37;greedy;2755;36;711;5;2446;1000;40
1;A3706.txt;tabou;37;greedy;3812;36;1014;7;1883;1000;40
1;A3805.txt;tabou;38;greedy;3075;37;834;7;2882;1000;40
1;A3905.txt;tabou;39;greedy;3618;38;885;5;1702;1000;40
1;A3906.txt;tabou;39;greedy;3489;38;935;7;2823;1000;40
1;A4406.txt;tabou;44;greedy;4168;43;981;6;2022;1000;40
1;A4506.txt;tabou;45;greedy;4284;44;1016;8;3296;1000;40
1;A4507.txt;tabou;45;greedy;5114;44;1197;7;2197;1000;40
1;A4607.txt;tabou;46;greedy;4039;45;937;7;2330;1000;40
1;A5307.txt;tabou;53;greedy;5026;52;1105;8;3950;1000;40
1;A5407.txt;tabou;54;greedy;5774;53;1302;8;4629;1000;40
1;A5509.txt;tabou;55;greedy;4377;54;1158;10;4536;1000;40
1;A6009.txt;tabou;60;greedy;6329;59;1388;9;5322;1000;40
1;A6109.txt;tabou;61;greedy;4470;60;1074;10;4909;1000;40
1;A6208.txt;tabou;62;greedy;7106;61;1344;8;4068;1000;40
1;A6310.txt;tabou;63;greedy;5761;62;1417;11;7944;1000;40
1;A6409.txt;tabou;64;greedy;7632;63;1527;10;6768;1000;40
1;A6509.txt;tabou;65;greedy;5722;64;1328;11;9295;1000;40
1;A6909.txt;tabou;69;greedy;5513;68;1324;11;12851;1000;40
1;A8010.txt;tabou;80;greedy;11153;79;1861;10;12562;1000;40
2;A3205.txt;tabou;32;greedy;3740;31;846;5;1684;1000;60
2;A3305.txt;tabou;33;greedy;2618;32;701;6;905;1000;60
2;A3306.txt;tabou;33;greedy;2544;32;795;7;2181;1000;60
2;A3405.txt;tabou;34;greedy;3155;33;781;5;1897;1000;60
2;A3605.txt;tabou;36;greedy;3896;35;806;5;1707;1000;60
2;A3705.txt;tabou;37;greedy;2755;36;729;6;2864;1000;60
2;A3706.txt;tabou;37;greedy;3812;36;994;7;1155;1000;60
2;A3805.txt;tabou;38;greedy;3075;37;834;7;3418;1000;60
2;A3905.txt;tabou;39;greedy;3618;38;866;5;1780;1000;60
2;A3906.txt;tabou;39;greedy;3489;38;935;7;2760;1000;60
2;A4406.txt;tabou;44;greedy;4168;43;981;6;2163;1000;60
2;A4506.txt;tabou;45;greedy;4284;44;1016;8;3209;1000;60
2;A4507.txt;tabou;45;greedy;5114;44;1196;7;2162;1000;60
2;A4607.txt;tabou;46;greedy;4039;45;939;7;2250;1000;60
2;A5307.txt;tabou;53;greedy;5026;52;1083;8;4287;1000;60
2;A5407.txt;tabou;54;greedy;5774;53;1301;8;6720;1000;60
2;A5509.txt;tabou;55;greedy;4377;54;1151;10;4160;1000;60
2;A6009.txt;tabou;60;greedy;6329;59;1380;9;5253;1000;60
2;A6109.txt;tabou;61;greedy;4470;60;1116;11;8785;1000;60
2;A6208.txt;tabou;62;greedy;7106;61;1344;8;4219;1000;60
2;A6310.txt;tabou;63;greedy;5761;62;1391;10;7232;1000;60
2;A6409.txt;tabou;64;greedy;7632;63;1511;10;7885;1000;60
2;A6509.txt;tabou;65;greedy;5722;64;1328;11;10089;1000;60
2;A6909.txt;tabou;69;greedy;5513;68;1324;11;14695;1000;60
2;A8010.txt;tabou;80;greedy;11153;79;1823;10;10611;1000;60
3;A3205.txt;tabou;32;greedy;3740;31;951;6;2169;1000;80
3;A3305.txt;tabou;33;greedy;2618;32;680;5;1538;1000;80
3;A3306.txt;tabou;33;greedy;2544;32;795;7;1476;1000;80
3;A3405.txt;tabou;34;greedy;3155;33;781;5;1573;1000;80
3;A3605.txt;tabou;36;greedy;3896;35;806;5;2078;1000;80
3;A3705.txt;tabou;37;greedy;2755;36;729;6;3714;1000;80
3;A3706.txt;tabou;37;greedy;3812;36;1002;6;1706;1000;80
3;A3805.txt;tabou;38;greedy;3075;37;834;7;3585;1000;80
3;A3905.txt;tabou;39;greedy;3618;38;889;5;2165;1000;80
3;A3906.txt;tabou;39;greedy;3489;38;935;7;2769;1000;80
3;A4406.txt;tabou;44;greedy;4168;43;1011;7;2785;1000;80
3;A4506.txt;tabou;45;greedy;4284;44;973;7;4374;1000;80
3;A4507.txt;tabou;45;greedy;5114;44;1189;7;1873;1000;80
3;A4607.txt;tabou;46;greedy;4039;45;939;7;2131;1000;80
3;A5307.txt;tabou;53;greedy;5026;52;1098;8;3953;1000;80
3;A5407.txt;tabou;54;greedy;5774;53;1275;8;7514;1000;80
3;A5509.txt;tabou;55;greedy;4377;54;1160;10;5282;1000;80
3;A6009.txt;tabou;60;greedy;6329;59;1380;9;6460;1000;80
3;A6109.txt;tabou;61;greedy;4470;60;1112;11;8631;1000;80
3;A6208.txt;tabou;62;greedy;7106;61;1408;9;7922;1000;80
3;A6310.txt;tabou;63;greedy;5761;62;1417;11;9501;1000;80
3;A6409.txt;tabou;64;greedy;7632;63;1489;10;8159;1000;80
3;A6509.txt;tabou;65;greedy;5722;64;1449;12;14073;1000;80
