i;GraphName;Algorithm;N Colis;Graph Initial;x0 fitness;x0 Nb camions;xi fitness;xi Nb camions;Temps calcul (en ms);Max iteration;Variation ou Taille liste
0;A3205.txt;tabou;32;greedy;3740;31;976;6;16708;10000;10
0;A3305.txt;tabou;33;greedy;2618;32;676;5;9537;10000;10
0;A3306.txt;tabou;33;greedy;2544;32;795;7;12426;10000;10
0;A3405.txt;tabou;34;greedy;3155;33;790;6;14409;10000;10
0;A3605.txt;tabou;36;greedy;3896;35;860;5;10651;10000;10
0;A3705.txt;tabou;37;greedy;2755;36;758;6;26520;10000;10
0;A3706.txt;tabou;37;greedy;3812;36;1004;7;14589;10000;10
0;A3805.txt;tabou;38;greedy;3075;37;834;7;24405;10000;10
0;A3905.txt;tabou;39;greedy;3618;38;872;5;9887;10000;10
0;A3906.txt;tabou;39;greedy;3489;38;954;7;21445;10000;10
0;A4406.txt;tabou;44;greedy;4168;43;981;6;15827;10000;10
0;A4506.txt;tabou;45;greedy;4284;44;1016;8;29780;10000;10
0;A4507.txt;tabou;45;greedy;5114;44;1189;7;16937;10000;10
0;A4607.txt;tabou;46;greedy;4039;45;939;7;19180;10000;10
0;A5307.txt;tabou;53;greedy;5026;52;1105;8;36873;10000;10
0;A5407.txt;tabou;54;greedy;5774;53;1272;8;50398;10000;10
0;A5509.txt;tabou;55;greedy;4377;54;1153;10;33848;10000;10
0;A6009.txt;tabou;60;greedy;6329;59;1380;9;44576;10000;10
0;A6109.txt;tabou;61;greedy;4470;60;1060;10;34228;10000;10
0;A6208.txt;tabou;62;greedy;7106;61;1370;8;43060;10000;10
0;A6310.txt;tabou;63;greedy;5761;62;1417;11;59476;10000;10
0;A6409.txt;tabou;64;greedy;7632;63;1489;10;46812;10000;10
0;A6509.txt;tabou;65;greedy;5722;64;1448;12;96275;10000;10
0;A6909.txt;tabou;69;greedy;5513;68;1324;11;115828;10000;10
0;A8010.txt;tabou;80;greedy;11153;79;1808;10;101348;10000;10
