i;GraphName;Algorithm;N Colis;Graph Initial;x0 fitness;x0 Nb camions;xi fitness;xi Nb camions;Temps calcul (en ms);Max iteration (generation);Nb population;Taux mutation;Nombre des meilleurs gardes
0;A3205.txt;genetic;32;filltruck;2080;5;923;5;4133;10000;100;0.5;30
0;A3305.txt;genetic;33;filltruck;1886;5;702;5;3527;10000;100;0.5;30
0;A3306.txt;genetic;33;filltruck;1593;7;873;6;3664;10000;100;0.5;30
0;A3405.txt;genetic;34;filltruck;2073;6;847;5;3604;10000;100;0.5;30
0;A3605.txt;genetic;36;filltruck;1991;5;851;5;3721;10000;100;0.5;30
0;A3705.txt;genetic;37;filltruck;1593;5;689;5;3771;10000;100;0.5;30
0;A3706.txt;genetic;37;filltruck;2050;7;1005;6;3947;10000;100;0.5;30
0;A3805.txt;genetic;38;filltruck;2251;6;735;5;3864;10000;100;0.5;30
0;A3905.txt;genetic;39;filltruck;2377;6;933;5;3940;10000;100;0.5;30
0;A3906.txt;genetic;39;filltruck;2385;6;895;6;3994;10000;100;0.5;30
0;A4406.txt;genetic;44;filltruck;2603;7;997;6;4672;10000;100;0.5;30
0;A4506.txt;genetic;45;filltruck;2815;7;1089;7;5690;10000;100;0.5;30
0;A4507.txt;genetic;45;filltruck;2775;7;1253;7;4952;10000;100;0.5;30
0;A4607.txt;genetic;46;filltruck;2693;7;1096;7;5005;10000;100;0.5;30
0;A5307.txt;genetic;53;filltruck;3300;8;1303;7;5950;10000;100;0.5;30
0;A5407.txt;genetic;54;filltruck;3491;8;1376;7;6288;10000;100;0.5;30
0;A5509.txt;genetic;55;filltruck;2950;9;1238;9;5628;10000;100;0.5;30
0;A6009.txt;genetic;60;filltruck;3770;10;1536;9;5731;10000;100;0.5;30
0;A6109.txt;genetic;61;filltruck;3236;11;1329;9;6224;10000;100;0.5;30
0;A6208.txt;genetic;62;filltruck;3474;8;1425;8;6218;10000;100;0.5;30
0;A6310.txt;genetic;63;filltruck;3706;11;1468;10;6477;10000;100;0.5;30
0;A6409.txt;genetic;64;filltruck;3734;10;1718;9;6074;10000;100;0.5;30
0;A6509.txt;genetic;65;filltruck;3673;10;1480;10;5769;10000;100;0.5;30
0;A6909.txt;genetic;69;filltruck;4196;10;1410;9;6018;10000;100;0.5;30
0;A8010.txt;genetic;80;filltruck;5166;11;2079;10;6893;10000;100;0.5;30
1;A3205.txt;genetic;32;filltruck;2080;5;855;5;3628;10000;100;0.5;30
1;A3305.txt;genetic;33;filltruck;1886;5;662;5;3577;10000;100;0.5;30
1;A3306.txt;genetic;33;filltruck;1593;7;857;6;3719;10000;100;0.5;30
1;A3405.txt;genetic;34;filltruck;2073;6;810;5;3626;10000;100;0.5;30
1;A3605.txt;genetic;36;filltruck;1991;5;888;5;3727;10000;100;0.5;30
