i;GraphName;Algorithm;N Colis;Graph Initial;x0 fitness;x0 Nb camions;xi fitness;xi Nb camions;Temps calcul (en ms);Max iteration (generation);Nb population;Taux mutation;Nombre des meilleurs gardes
0;A3205.txt;genetic;32;greedy;3740;31;890;5;1086;1000;100;0.5;10
0;A3305.txt;genetic;33;greedy;2618;32;784;5;622;1000;100;0.5;10
0;A3306.txt;genetic;33;greedy;2544;32;836;6;624;1000;100;0.5;10
0;A3405.txt;genetic;34;greedy;3155;33;915;5;621;1000;100;0.5;10
0;A3605.txt;genetic;36;greedy;3896;35;869;5;604;1000;100;0.5;10
0;A3705.txt;genetic;37;greedy;2755;36;849;6;584;1000;100;0.5;10
0;A3706.txt;genetic;37;greedy;3812;36;1056;7;626;1000;100;0.5;10
0;A3805.txt;genetic;38;greedy;3075;37;969;5;589;1000;100;0.5;10
0;A3905.txt;genetic;39;greedy;3618;38;959;5;594;1000;100;0.5;10
0;A3906.txt;genetic;39;greedy;3489;38;933;6;642;1000;100;0.5;10
0;A4406.txt;genetic;44;greedy;4168;43;1153;6;802;1000;100;0.5;10
0;A4506.txt;genetic;45;greedy;4284;44;1201;7;707;1000;100;0.5;10
0;A4507.txt;genetic;45;greedy;5114;44;1366;7;797;1000;100;0.5;10
0;A4607.txt;genetic;46;greedy;4039;45;1139;7;803;1000;100;0.5;10
0;A5307.txt;genetic;53;greedy;5026;52;1467;8;795;1000;100;0.5;10
0;A5407.txt;genetic;54;greedy;5774;53;1554;8;765;1000;100;0.5;10
0;A5509.txt;genetic;55;greedy;4377;54;1415;10;814;1000;100;0.5;10
0;A6009.txt;genetic;60;greedy;6329;59;1759;9;873;1000;100;0.5;10
0;A6109.txt;genetic;61;greedy;4470;60;1446;10;883;1000;100;0.5;10
0;A6208.txt;genetic;62;greedy;7106;61;1892;8;856;1000;100;0.5;10
0;A6310.txt;genetic;63;greedy;5761;62;1788;10;1114;1000;100;0.5;10
0;A6409.txt;genetic;64;greedy;7632;63;1991;9;967;1000;100;0.5;10
0;A6509.txt;genetic;65;greedy;5722;64;1707;10;898;1000;100;0.5;10
0;A6909.txt;genetic;69;greedy;5513;68;1805;10;986;1000;100;0.5;10
0;A8010.txt;genetic;80;greedy;11153;79;2473;10;1116;1000;100;0.5;10
1;A3205.txt;genetic;32;greedy;3740;31;996;5;529;1000;100;0.5;10
1;A3305.txt;genetic;33;greedy;2618;32;744;5;555;1000;100;0.5;10
1;A3306.txt;genetic;33;greedy;2544;32;831;6;649;1000;100;0.5;10
1;A3405.txt;genetic;34;greedy;3155;33;843;6;601;1000;100;0.5;10
1;A3605.txt;genetic;36;greedy;3896;35;1012;5;625;1000;100;0.5;10
1;A3705.txt;genetic;37;greedy;2755;36;823;5;574;1000;100;0.5;10
1;A3706.txt;genetic;37;greedy;3812;36;1151;6;614;1000;100;0.5;10
1;A3805.txt;genetic;38;greedy;3075;37;963;6;601;1000;100;0.5;10
1;A3905.txt;genetic;39;greedy;3618;38;1066;6;634;1000;100;0.5;10
1;A3906.txt;genetic;39;greedy;3489;38;949;6;677;1000;100;0.5;10
1;A4406.txt;genetic;44;greedy;4168;43;1212;6;750;1000;100;0.5;10
1;A4506.txt;genetic;45;greedy;4284;44;1198;8;699;1000;100;0.5;10
1;A4507.txt;genetic;45;greedy;5114;44;1343;7;705;1000;100;0.5;10
1;A4607.txt;genetic;46;greedy;4039;45;1206;8;767;1000;100;0.5;10
1;A5307.txt;genetic;53;greedy;5026;52;1302;8;862;1000;100;0.5;10
1;A5407.txt;genetic;54;greedy;5774;53;1537;8;886;1000;100;0.5;10
1;A5509.txt;genetic;55;greedy;4377;54;1386;9;907;1000;100;0.5;10
1;A6009.txt;genetic;60;greedy;6329;59;1805;9;921;1000;100;0.5;10
1;A6109.txt;genetic;61;greedy;4470;60;1450;10;1061;1000;100;0.5;10
1;A6208.txt;genetic;62;greedy;7106;61;1737;8;983;1000;100;0.5;10
1;A6310.txt;genetic;63;greedy;5761;62;1670;11;1042;1000;100;0.5;10
1;A6409.txt;genetic;64;greedy;7632;63;1961;9;1047;1000;100;0.5;10
1;A6509.txt;genetic;65;greedy;5722;64;1727;11;1074;1000;100;0.5;10
1;A6909.txt;genetic;69;greedy;5513;68;1881;11;1018;1000;100;0.5;10
1;A8010.txt;genetic;80;greedy;11153;79;2548;11;1115;1000;100;0.5;10
2;A3205.txt;genetic;32;greedy;3740;31;968;5;510;1000;100;0.5;10
2;A3305.txt;genetic;33;greedy;2618;32;855;5;528;1000;100;0.5;10
2;A3306.txt;genetic;33;greedy;2544;32;858;6;546;1000;100;0.5;10
2;A3405.txt;genetic;34;greedy;3155;33;905;5;546;1000;100;0.5;10
2;A3605.txt;genetic;36;greedy;3896;35;901;5;543;1000;100;0.5;10
2;A3705.txt;genetic;37;greedy;2755;36;849;5;613;1000;100;0.5;10
2;A3706.txt;genetic;37;greedy;3812;36;1211;7;607;1000;100;0.5;10
2;A3805.txt;genetic;38;greedy;3075;37;818;5;592;1000;100;0.5;10
2;A3905.txt;genetic;39;greedy;3618;38;1026;5;599;1000;100;0.5;10
2;A3906.txt;genetic;39;greedy;3489;38;943;6;604;1000;100;0.5;10
2;A4406.txt;genetic;44;greedy;4168;43;1174;6;663;1000;100;0.5;10
2;A4506.txt;genetic;45;greedy;4284;44;1157;7;703;1000;100;0.5;10
2;A4507.txt;genetic;45;greedy;5114;44;1433;7;793;1000;100;0.5;10
2;A4607.txt;genetic;46;greedy;4039;45;1284;8;745;1000;100;0.5;10
2;A5307.txt;genetic;53;greedy;5026;52;1439;7;766;1000;100;0.5;10
2;A5407.txt;genetic;54;greedy;5774;53;1444;7;752;1000;100;0.5;10
2;A5509.txt;genetic;55;greedy;4377;54;1367;10;829;1000;100;0.5;10
2;A6009.txt;genetic;60;greedy;6329;59;1665;9;958;1000;100;0.5;10
2;A6109.txt;genetic;61;greedy;4470;60;1425;10;972;1000;100;0.5;10
2;A6208.txt;genetic;62;greedy;7106;61;1798;8;836;1000;100;0.5;10
2;A6310.txt;genetic;63;greedy;5761;62;1723;11;868;1000;100;0.5;10
2;A6409.txt;genetic;64;greedy;7632;63;2014;9;886;1000;100;0.5;10
2;A6509.txt;genetic;65;greedy;5722;64;1843;11;986;1000;100;0.5;10
2;A6909.txt;genetic;69;greedy;5513;68;1732;11;1051;1000;100;0.5;10
2;A8010.txt;genetic;80;greedy;11153;79;2719;11;1052;1000;100;0.5;10
3;A3205.txt;genetic;32;greedy;3740;31;868;5;502;1000;100;0.5;10
3;A3305.txt;genetic;33;greedy;2618;32;787;5;593;1000;100;0.5;10
3;A3306.txt;genetic;33;greedy;2544;32;835;6;588;1000;100;0.5;10
3;A3405.txt;genetic;34;greedy;3155;33;894;6;596;1000;100;0.5;10
3;A3605.txt;genetic;36;greedy;3896;35;866;5;566;1000;100;0.5;10
3;A3705.txt;genetic;37;greedy;2755;36;858;5;554;1000;100;0.5;10
3;A3706.txt;genetic;37;greedy;3812;36;1080;6;657;1000;100;0.5;10
3;A3805.txt;genetic;38;greedy;3075;37;907;5;571;1000;100;0.5;10
3;A3905.txt;genetic;39;greedy;3618;38;1051;5;574;1000;100;0.5;10
3;A3906.txt;genetic;39;greedy;3489;38;1049;6;586;1000;100;0.5;10
3;A4406.txt;genetic;44;greedy;4168;43;1197;6;716;1000;100;0.5;10
3;A4506.txt;genetic;45;greedy;4284;44;1256;7;709;1000;100;0.5;10
3;A4507.txt;genetic;45;greedy;5114;44;1392;7;702;1000;100;0.5;10
3;A4607.txt;genetic;46;greedy;4039;45;1124;8;686;1000;100;0.5;10
3;A5307.txt;genetic;53;greedy;5026;52;1327;8;764;1000;100;0.5;10
3;A5407.txt;genetic;54;greedy;5774;53;1486;7;786;1000;100;0.5;10
3;A5509.txt;genetic;55;greedy;4377;54;1302;10;828;1000;100;0.5;10
3;A6009.txt;genetic;60;greedy;6329;59;1778;10;988;1000;100;0.5;10
3;A6109.txt;genetic;61;greedy;4470;60;1327;10;958;1000;100;0.5;10
3;A6208.txt;genetic;62;greedy;7106;61;1779;8;832;1000;100;0.5;10
3;A6310.txt;genetic;63;greedy;5761;62;1907;10;845;1000;100;0.5;10
3;A6409.txt;genetic;64;greedy;7632;63;1879;9;841;1000;100;0.5;10
3;A6509.txt;genetic;65;greedy;5722;64;1656;10;859;1000;100;0.5;10
3;A6909.txt;genetic;69;greedy;5513;68;1616;10;1041;1000;100;0.5;10
3;A8010.txt;genetic;80;greedy;11153;79;2694;10;1071;1000;100;0.5;10
4;A3205.txt;genetic;32;greedy;3740;31;917;5;508;1000;100;0.5;10
4;A3305.txt;genetic;33;greedy;2618;32;751;5;558;1000;100;0.5;10
4;A3306.txt;genetic;33;greedy;2544;32;868;6;586;1000;100;0.5;10
4;A3405.txt;genetic;34;greedy;3155;33;908;5;533;1000;100;0.5;10
4;A3605.txt;genetic;36;greedy;3896;35;904;5;548;1000;100;0.5;10
4;A3705.txt;genetic;37;greedy;2755;36;794;5;553;1000;100;0.5;10
4;A3706.txt;genetic;37;greedy;3812;36;1042;6;585;1000;100;0.5;10
4;A3805.txt;genetic;38;greedy;3075;37;912;6;560;1000;100;0.5;10
4;A3905.txt;genetic;39;greedy;3618;38;1016;6;595;1000;100;0.5;10
4;A3906.txt;genetic;39;greedy;3489;38;1048;6;591;1000;100;0.5;10
4;A4406.txt;genetic;44;greedy;4168;43;1155;6;633;1000;100;0.5;10
4;A4506.txt;genetic;45;greedy;4284;44;1216;7;698;1000;100;0.5;10
4;A4507.txt;genetic;45;greedy;5114;44;1418;7;667;1000;100;0.5;10
4;A4607.txt;genetic;46;greedy;4039;45;1197;8;685;1000;100;0.5;10
4;A5307.txt;genetic;53;greedy;5026;52;1423;8;730;1000;100;0.5;10
4;A5407.txt;genetic;54;greedy;5774;53;1589;8;799;1000;100;0.5;10
