i;GraphName;Algorithm;N Colis;Graph Initial;x0 fitness;x0 Nb camions;xi fitness;xi Nb camions;Temps calcul (en ms);Max iteration (generation);Nb population;Taux mutation;Nombre des meilleurs gardes
0;A3205.txt;genetic;32;filltruck;2080;5;944;5;515;1000;100;0.7;50
1;A3205.txt;genetic;32;filltruck;2080;5;1001;5;352;1000;100;0.7;50
2;A3205.txt;genetic;32;filltruck;2080;5;928;5;324;1000;100;0.7;50
3;A3205.txt;genetic;32;filltruck;2080;5;918;5;295;1000;100;0.7;50
4;A3205.txt;genetic;32;filltruck;2080;5;940;5;298;1000;100;0.7;50
5;A3205.txt;genetic;32;filltruck;2080;5;940;5;324;1000;100;0.7;50
6;A3205.txt;genetic;32;filltruck;2080;5;935;5;297;1000;100;0.7;50
7;A3205.txt;genetic;32;filltruck;2080;5;931;5;288;1000;100;0.7;50
8;A3205.txt;genetic;32;filltruck;2080;5;966;5;292;1000;100;0.7;50
9;A3205.txt;genetic;32;filltruck;2080;5;968;5;290;1000;100;0.7;50
10;A3205.txt;genetic;32;filltruck;2080;5;1063;5;328;1000;100;0.7;50
11;A3205.txt;genetic;32;filltruck;2080;5;939;5;306;1000;100;0.7;50
12;A3205.txt;genetic;32;filltruck;2080;5;1003;5;439;1000;100;0.7;50
13;A3205.txt;genetic;32;filltruck;2080;5;893;5;295;1000;100;0.7;50
14;A3205.txt;genetic;32;filltruck;2080;5;899;5;295;1000;100;0.7;50
15;A3205.txt;genetic;32;filltruck;2080;5;1034;5;286;1000;100;0.7;50
16;A3205.txt;genetic;32;filltruck;2080;5;908;5;286;1000;100;0.7;50
17;A3205.txt;genetic;32;filltruck;2080;5;877;5;287;1000;100;0.7;50
18;A3205.txt;genetic;32;filltruck;2080;5;903;5;289;1000;100;0.7;50
19;A3205.txt;genetic;32;filltruck;2080;5;879;5;290;1000;100;0.7;50
20;A3205.txt;genetic;32;filltruck;2080;5;923;5;285;1000;100;0.7;50
21;A3205.txt;genetic;32;filltruck;2080;5;924;5;291;1000;100;0.7;50
22;A3205.txt;genetic;32;filltruck;2080;5;921;5;292;1000;100;0.7;50
23;A3205.txt;genetic;32;filltruck;2080;5;924;5;296;1000;100;0.7;50
24;A3205.txt;genetic;32;filltruck;2080;5;1021;5;291;1000;100;0.7;50
25;A3205.txt;genetic;32;filltruck;2080;5;1028;5;294;1000;100;0.7;50
26;A3205.txt;genetic;32;filltruck;2080;5;939;5;295;1000;100;0.7;50
27;A3205.txt;genetic;32;filltruck;2080;5;1013;5;293;1000;100;0.7;50
28;A3205.txt;genetic;32;filltruck;2080;5;956;5;292;1000;100;0.7;50
29;A3205.txt;genetic;32;filltruck;2080;5;926;5;299;1000;100;0.7;50
30;A3205.txt;genetic;32;filltruck;2080;5;992;5;300;1000;100;0.7;50
31;A3205.txt;genetic;32;filltruck;2080;5;898;5;311;1000;100;0.7;50
32;A3205.txt;genetic;32;filltruck;2080;5;934;5;300;1000;100;0.7;50
33;A3205.txt;genetic;32;filltruck;2080;5;981;5;303;1000;100;0.7;50
34;A3205.txt;genetic;32;filltruck;2080;5;877;5;295;1000;100;0.7;50
